regime,weight_name,term_index,coefficient
core,phase,0,-0.18435257188144585
core,phase,1,0.029357063269538318
core,phase,2,-0.06384213394674085
core,phase,3,-0.005174830844665234
core,phase,4,-0.06898863017259689
core,phase,5,0.23185639324180565
core,phase,6,0.0695469120415538
core,phase,7,-0.1370360050026794
core,phase,8,0.2152370430931132
core,phase,9,0.0042793708384908195
core,phase,10,0.0840621872382669
core,phase,11,-0.01584167436474482
core,phase,12,-0.7715588534739832
core,phase,13,-0.08736930105339585
core,phase,14,0.32626260712884025
core,centroid,0,-2.3072257175533237
core,centroid,1,0.049250516507430175
core,centroid,2,0.605344310084307
core,centroid,3,-0.05918051130899207
core,centroid,4,-0.025792737967979762
core,centroid,5,0.18149424985060159
core,centroid,6,0.03569454920941826
core,centroid,7,0.012264701560557366
core,centroid,8,0.006452787818757591
core,centroid,9,0.04900027980689209
core,centroid,10,-0.20726509468047016
core,centroid,11,-0.007389501427487621
core,centroid,12,-0.012857776965580821
core,centroid,13,-0.5463665585360993
core,centroid,14,3.2221542117165796
core,peak,0,1.307694402394257
core,peak,1,-0.019244978901907794
core,peak,2,-0.6401399366040623
core,peak,3,0.04957891056836213
core,peak,4,-0.05058000909542737
core,peak,5,0.13218502264287285
core,peak,6,-0.01820858106131448
core,peak,7,-0.08811021084951884
core,peak,8,0.15319874527990143
core,peak,9,-0.02618081677321077
core,peak,10,0.2665666642403425
core,peak,11,0.012841306610178793
core,peak,12,-0.8691350946572535
core,peak,13,0.7735636291159775
core,peak,14,-3.2601401677182587
tail,phase,0,-2.2008142090808485
tail,phase,1,0.06178983775624876
tail,phase,2,0.10449917389389284
tail,phase,3,-0.005984675230008227
tail,phase,4,-0.05099741880030806
tail,phase,5,1.04284104362872
tail,phase,6,0.008936159047600577
tail,phase,7,0.0015368741134542344
tail,phase,8,0.12542920148491493
tail,phase,9,0.0020902012189524533
tail,phase,10,-0.07034471399229583
tail,phase,11,0.007863392223527967
tail,phase,12,-0.9110546522589792
tail,phase,13,10.024451076509555
tail,phase,14,-8.6832322933377
tail,centroid,0,-1.5637144940186247
tail,centroid,1,0.03299680283904832
tail,centroid,2,0.09896875787769667
tail,centroid,3,-0.0035636641750918245
tail,centroid,4,-0.012713179812992536
tail,centroid,5,0.20943827464356626
tail,centroid,6,-0.0026516050184486463
tail,centroid,7,0.018996430342754105
tail,centroid,8,0.015962567407180283
tail,centroid,9,0.0006434056419054104
tail,centroid,10,-0.05416739299415418
tail,centroid,11,0.007640697690162847
tail,centroid,12,-0.12815838139456384
tail,centroid,13,9.602961854287777
tail,centroid,14,-9.116956392812282
tail,peak,0,-0.270352746374272
tail,peak,1,-0.030983077662707824
tail,peak,2,0.042744103632593844
tail,peak,3,0.002250830836451309
tail,peak,4,0.08464852334391271
tail,peak,5,0.2226323316585286
tail,peak,6,-0.03373436985155952
tail,peak,7,0.032462723454619
tail,peak,8,-0.06277226520753068
tail,peak,9,-0.007888286945784088
tail,peak,10,-0.04138883239072292
tail,peak,11,9.391734900863992e-05
tail,peak,12,0.33284738713025086
tail,peak,13,-9.599019767666633
tail,peak,14,10.358587807407295
